Ticker,Company,Sector,Price,ScanPrice,ATR14,ATRPercent,ADV30,DollarVolume30,SMA50,SMA200,TrendScore15,SupportType,Support,PctAboveSupport,EntryZone,SupportTests,Bounce1Pct,Bounce2Pct,Confluence,RS20vsSPY,RS60vsSPY,SectorRS20,UpDownVolumeRatio,OBVChangePct,SuggestedStop,Target1,Target2,RR_Target1,RR_Target2,NextEarnings,EarningsTiming,DaysToEarnings,RecentNews,LiquidityPts10,TrendPts15,SupportPts20,RSPts15,AccumulationPts10,RRPts15,SectorPts5,CatalystPts5,QualityPts5,Score100,SetupScore100,QUALIFIES,Classification
PEGA,Pegasystems Inc.,Technology,38.42,38.42,1.47,3.82,1872801,65392100,32.9,41.06,7,BreakoutRetest,38.21,0.56,Prime Entry,2,3.87,4.99,0,22.49,26.26,23.73,1.2,18.88,37.45,38.96,43.27,0.55,4.95,2026-10-20,,35.0,True,7,7,14,15,9,15,5,5,5,82,82,False,Institutional Watchlist
CRWD,"CrowdStrike Holdings, Inc.",Technology,238.98,238.98,14.83,6.21,9821010,2102451869,204.2,145.22,15,BreakoutRetest,217.5,9.88,Extended,2,13.27,10.65,0,13.69,38.14,14.93,1.49,5.07,210.09,268.64,298.3,1.03,2.05,2026-12-01,,77.0,True,9,15,12,15,9,9,5,5,3,82,82,False,Institutional Watchlist
OCTO,Eightco Holdings Inc.,Consumer Cyclical,24.11,24.11,8.28,34.34,7755535,339308966,3.56,1.97,15,BreakoutRetest,1.54,1465.58,Extended,2,5554.42,5516.22,0,1488.15,1977.01,1490.9,15.46,99.4,-2.6,83.12,99.68,2.21,2.83,,,,False,8,15,12,15,10,11,5,4,1,81,81,False,Institutional Watchlist
IMGN,"ImmunoGen, Inc.",Healthcare,31.23,31.23,0.28,0.91,8193149,247686976,29.69,19.27,15,BreakoutRetest,29.91,4.41,Buyable,2,6.47,6.26,1,7.36,98.24,5.09,2.2,30.7,29.31,31.8,32.37,0.3,0.59,,,,False,8,15,16,14,10,2,5,4,5,79,79,False,Developing
AAPL,Apple Inc.,Technology,329.9,329.9,7.81,2.37,42114644,13283578331,318.81,285.5,15,BreakoutRetest,317.4,3.94,Buyable,2,5.78,6.23,2,9.92,9.26,11.15,1.16,0.81,311.05,334.99,336.22,0.27,0.34,2026-10-29,,44.0,True,10,15,18,13,5,2,5,5,5,78,78,False,Developing
GEN,Gen Digital Inc.,Technology,30.9,30.9,0.88,2.86,5538860,163350617,28.3,24.73,15,BreakoutRetest,28.12,9.89,Extended,2,14.28,17.18,1,14.7,26.35,15.93,1.3,58.48,27.56,31.29,31.65,0.12,0.22,2026-11-05,,51.0,True,8,15,14,15,9,2,5,5,5,78,78,False,Developing
NTNX,"Nutanix, Inc.",Technology,68.43,68.43,2.48,3.62,2551955,169125958,62.02,49.06,15,Horizontal,65.0,5.29,Watch for Pullback,2,14.95,4.93,0,6.19,44.48,7.43,1.12,9.84,63.7,74.42,79.38,1.26,2.31,2026-11-24,,70.0,True,8,15,12,14,7,9,5,5,2,77,77,False,Developing
BWIN,"The Baldwin Insurance Group, Inc.",Financial Services,32.47,32.47,1.21,3.73,1801547,56058025,29.05,23.94,15,BreakoutRetest,29.17,11.3,Extended,2,15.74,17.48,1,7.47,58.96,7.22,3.35,217.73,28.56,34.89,37.31,0.62,1.24,2026-11-03,,49.0,True,7,15,14,14,10,2,5,5,5,77,77,False,Developing
MTCH,"Match Group, Inc.",Communication Services,42.72,42.72,1.16,2.71,3214657,128879734,39.72,34.97,15,Horizontal,40.15,6.4,Watch for Pullback,2,8.78,9.0,1,16.74,19.07,11.94,1.17,45.03,39.35,43.47,47.35,0.22,1.37,2026-11-03,,49.0,True,8,15,14,15,7,2,5,5,5,76,76,False,Developing
CHYM,"Chime Financial, Inc. Class A Common Stock",Technology,33.16,33.16,1.45,4.38,9016305,286716729,27.97,23.21,15,Horizontal,32.28,2.74,Buyable,2,10.54,6.73,0,7.42,87.0,8.65,1.13,70.54,31.55,33.74,34.16,0.36,0.62,2026-11-04,,50.0,True,8,15,15,14,7,2,5,5,4,75,75,False,Developing
PRVB,"Provention Bio, Inc.",Healthcare,24.98,24.98,0.2,0.8,2417297,58660664,18.81,9.94,15,BreakoutRetest,24.23,3.1,Buyable,2,3.26,3.31,1,5.19,187.01,2.92,1.27,13.15,23.75,25.38,25.78,0.32,0.64,,,,False,7,15,15,14,9,2,4,4,5,75,75,False,Developing
CERE,"Cerevel Therapeutics Holdings, Inc.",Healthcare,44.96,44.96,0.54,1.21,2948602,124791897,41.66,38.78,15,SMA50,41.32,8.81,Extended,2,8.21,11.12,1,13.53,4.3,11.26,1.88,29.93,40.49,46.05,47.13,0.24,0.49,,,,False,8,15,14,12,10,2,5,4,5,75,75,False,Developing
DBX,"Dropbox, Inc.",Technology,37.6,37.6,1.15,3.06,3954806,137683534,33.06,27.85,15,BreakoutRetest,33.54,12.1,Extended,2,11.6,12.57,2,14.61,43.34,15.84,0.93,44.19,32.87,39.9,42.2,0.49,0.97,2026-11-05,,51.0,True,8,15,16,15,4,2,5,5,5,75,75,False,Developing
QRVO,"Qorvo, Inc.",Technology,115.6,115.6,4.64,4.01,1118466,112609629,94.53,88.69,15,BreakoutRetest,101.6,13.78,Extended,2,25.41,17.75,0,22.33,16.02,23.57,1.33,16.47,99.28,120.52,134.15,0.3,1.14,2026-11-04,,50.0,True,7,15,12,15,9,2,5,5,5,75,75,False,Developing
SWKS,"Skyworks Solutions, Inc.",Technology,87.35,87.35,4.91,5.62,5957324,430010510,66.82,64.47,15,BreakoutRetest,72.81,19.97,Extended,2,39.03,25.58,0,30.93,19.12,32.17,1.35,2100.57,70.35,92.3,107.0,0.29,1.16,2026-10-27,,42.0,True,8,15,12,15,9,2,5,5,4,75,75,False,Developing
CLMT,Calumet Inc.,Basic Materials,57.36,57.36,2.38,4.15,1241683,60601718,46.13,32.77,15,BreakoutRetest,41.37,38.66,Extended,2,24.18,33.35,0,20.61,74.31,22.2,1.29,18.06,40.18,58.4,66.89,0.06,0.55,2026-11-06,,52.0,True,7,15,12,15,9,2,5,5,5,75,75,False,Developing
KDLY,"Kindly MD, Inc.",Healthcare,24.94,24.94,5.34,21.39,4685524,68826212,4.26,2.1,15,BreakoutRetest,1.83,1262.84,Extended,2,125.31,1783.23,1,1360.44,1197.52,1358.17,2.5,37.01,-0.84,31.45,46.28,0.25,0.83,,,,False,7,15,14,15,10,2,5,4,3,75,75,False,Developing
TGTX,"TG Therapeutics, Inc.",Healthcare,53.31,53.31,2.08,3.9,1816046,95710634,53.56,39.71,14,SMA50,53.48,-0.32,Support Test / Reclaim,2,8.62,5.64,1,10.14,-1.27,7.87,1.75,-3.52,52.41,56.74,56.78,3.81,3.86,2026-11-02,,48.0,True,7,14,15,8,6,13,5,5,1,74,74,False,Below Threshold
PFG,"Principal Financial Group, Inc.",Financial Services,117.32,117.32,2.53,2.15,1116171,127151501,112.98,99.84,15,BreakoutRetest,114.47,2.49,Buyable,2,4.32,3.78,1,5.81,5.63,5.56,1.04,47.52,112.18,121.18,127.42,0.75,1.97,2026-10-26,,41.0,True,7,15,15,11,7,6,5,5,3,74,74,False,Below Threshold
FTNT,"Fortinet, Inc.",Technology,170.22,170.22,7.91,4.65,4238108,682687036,159.42,112.52,15,SMA50,158.94,7.1,Extended,2,12.47,10.16,1,11.19,16.17,12.42,1.01,1.44,154.99,172.09,173.89,0.12,0.24,2026-11-04,,50.0,True,8,15,14,15,5,2,5,5,5,74,74,False,Below Threshold
GH,"Guardant Health, Inc.",Healthcare,173.26,173.26,8.34,4.82,1872669,305889962,159.93,119.19,15,SMA50,159.89,8.36,Extended,2,9.88,12.81,1,9.13,30.03,6.86,1.16,-0.81,155.72,176.58,206.64,0.19,1.9,2026-10-28,,43.0,True,7,15,14,14,3,6,5,5,5,74,74,False,Below Threshold
ILMN,"Illumina, Inc.",Healthcare,218.65,218.65,8.39,3.84,1842479,382406639,201.18,154.42,15,BreakoutRetest,199.14,9.8,Extended,2,20.31,9.26,1,15.17,33.59,12.9,1.18,12.26,194.94,221.76,231.81,0.13,0.56,2026-10-29,,44.0,True,7,15,14,15,7,2,5,5,4,74,74,False,Below Threshold
CHNG,Change Healthcare Inc.,Healthcare,27.49,27.49,0.3,1.08,8655971,233069980,25.18,22.88,15,BreakoutRetest,24.68,11.39,Extended,2,4.64,10.27,0,13.04,16.49,10.77,1.46,495.24,24.19,28.08,28.68,0.18,0.36,,,,False,8,15,11,15,9,2,5,4,5,74,74,False,Below Threshold
NTSK,"Netskope, Inc. Class A Common Stock",Technology,17.18,17.18,1.16,6.77,5302954,79205249,13.92,12.93,12,SMA50,13.36,28.58,Extended,2,32.92,32.42,1,14.61,88.37,15.84,1.38,33.6,12.78,17.84,21.83,0.15,1.06,2026-12-11,,87.0,True,7,12,14,15,9,2,5,5,5,74,74,False,Below Threshold
TXG,"10x Genomics, Inc.",Healthcare,74.14,74.14,3.82,5.15,2899965,175513891,54.51,30.47,15,BreakoutRetest,46.32,60.06,Extended,2,32.14,47.49,0,29.82,111.86,27.55,1.09,14.33,44.41,81.78,89.42,0.26,0.51,2026-11-05,,51.0,True,8,15,12,15,7,2,5,5,5,74,74,False,Below Threshold
ADP,"Automatic Data Processing, Inc.",Technology,276.61,276.61,5.21,1.88,2015650,555405180,266.64,237.61,15,BreakoutRetest,280.59,-1.42,Broken / Reclaim Needed,2,3.11,3.43,0,5.93,25.21,7.17,1.28,1.44,274.98,280.59,285.59,2.44,5.5,2026-10-28,,43.0,True,8,15,0,14,7,15,5,5,4,73,73,False,Below Threshold
OKTA,"Okta, Inc.",Technology,187.55,187.55,11.49,6.13,3620091,574972648,150.53,104.72,15,BreakoutRetest,157.0,19.46,Extended,2,14.66,20.28,0,32.9,57.76,34.13,1.62,3.9,151.25,210.53,233.52,0.63,1.27,2026-12-01,,77.0,True,8,15,12,15,8,2,5,5,3,73,73,False,Below Threshold
DOCU,"DocuSign, Inc.",Technology,71.4,71.4,2.91,4.08,3137143,198556371,58.27,53.68,12,BreakoutRetest,59.13,20.75,Extended,2,11.29,19.87,1,21.32,62.81,22.56,1.08,52.67,57.67,77.23,83.05,0.42,0.85,2026-12-03,,79.0,True,8,12,14,15,7,2,5,5,5,73,73,False,Below Threshold
